Company,Type,Address Line 1,City,State,Zip,Phone,Email,Contact Name,CRM Stage,Standard Labor Rate,Warranty Labor Rate,Website,High Priority,Notes
Jeremy Franklin Tire and Auto Repair,REPAIR SHOP,6300 E 87th St,Kansas City,MO,64138,(816) 205-7167,cjenkins@jeremyfranklin.com,Cal Jinkins - Service Mgr;  Jeremy Franklin - owner,Contacted,,,,,"1/12 former Fisker service center, service manager is interested, sent info email. Jeremy filled out shop survey, schedulling time to chat with Jeremy and see if we can partner with his service Dep."
Jungs Auto Restoration,REPAIR SHOP,19649 E Walnut Dr S,Walnut,CA,91789,(909) 468-2883,jungsauto@gmail.com,Sung Thomas Lim,In Review,195,150,,,"12/19 cert. VF body shop. interested in doing warranty repairs, has 1acer lot, 15K sqr foot wearhouse. has battery table."
John's Automotice,REPAIR SHOP,1711 Mission Rd,South San Francisco,,94080,(650) 994-7211,johnsautomotiveca@mechanicnet.com,John,Contacted,,,,Yes,6/6 LVM & sent info;  8/4 LVM
John's Automotive Care,REPAIR SHOP,6267 Riverdale St,San Diego,,92120,(619) 304-0815,John@johnsautomotivecare.com,John,Contacted,,,,,5/9 sent info to owner; 3 locations in SD
Jonny Prius & EV Repair,SPECIALIST,8996 La Linia Ave UnitB,Atascadero,,,(805) 464-2844,jonnyprius@gmail.com,Jonathan,Contacted,,,,Yes,5/13 Jon asked for info
Joy's Service Center,REPAIR SHOP,549 North Tyler Road,Wichita,KS,67212,(316) 722-4631,,,Contacted,,,,,"12/26 closed, Couldn't leave VM"
K West Auto Care,REPAIR SHOP,7236 Mission St,Daly City,,,(650) 991-0502,kwestautocare@gmail.com,Jackie,Contacted,,,,,12/19 Referred by Quan of DAS Auto Service. Just does tires now.  Interested but wants to see some info.  Def follow up. 5/6 busy asked for a CB another day; 8/4 Jackie on vacation try back in two weeks.
Kiko's Auto Repair Shop,REPAIR SHOP,170 umbarger Rd Unit C3,,,,(408) 709-1392,kikosautorepairshop@gmail.com,Kiko,Contacted,,,,,Kiko was interested but not ready will look over info & CB
King of Hybrid & EV Auto Repair,SPECIALIST,5510 Van Buren Boulevard suite c,Riverside,CA,92503,(310) 310-1244,king.hybrid.ev@gmail.com,Main mah,Contacted,175-215,,no website but shop has good potential on reviews.,,"5/12 works on ev & hybrids, sent info.. 10/31  Main asked for info to look over."
King's Auto Service,REPAIR SHOP,1039 North West Street,Raleigh,NC,27603,(919) 689-4964,kingserv@bellsouth.net; service@kingautomotive.net,,Contacted,280,,,,"1/12 not sold, bad experiance w/ Tesla; but forman provided email to look over and discust with ownership."
L & C Automotive Service,REPAIR SHOP,6530 Franklin Blvd,Sacramento,CA,95823,(916) 594-7048,LCAuto6530@gmail.com,Chenz,Contacted,,,,,10/13 Chenz wasn't in sent info email & left my # to call back
L&M Auto Repair,REPAIR SHOP,1116 W 43rd St S,Wichita,KS,67217,(316) 522-2261,lmautorepair67@gmail.com,Caleb,Contacted,,,,,12/26 advisor provided Caleb's email to send them information.
LAGAS Group,REPAIR SHOP,12066 Parklawn Dr,Rockville,MD,20852,(240) 669-8576,jmorant@lagasgroup.com,Justin,Contacted,,,,,"10/14 couldn't connect, will try calling back"
Laguna Woods Auto Repair Inc,REPAIR SHOP,23512 Commerce Center Dr,Laguna Hills,CA,92653,,lagunawoodsauto@gmail.com,Bob,Contacted,200,,,,2/17 asked for info to discuss w/ his team.
Laser Focus Alignment & ADAS,SPECIALIST,"20435 Gramercy Place, Suite 104",Torrance,CA,90501,(424) 271-7786,laserfocusenterprisesllc@gmail.com,Justin Hall,Contacted,,,,,"12/10 LVM, lead came in"
Layton's Garage,REPAIR SHOP,114 Southwest 9th Street,Ft Lauderdale,FL,33315,(954) 777-6448,laygar@gmail.com,,Lead,,,,,
Lenexa Automotive,REPAIR SHOP,13311 Walnut St,Lenexa,KS,66215,(913) 492-8250,,,Contacted,,,,,12/10 advisor didn't want to provide email or owner name; asked for a CB 12/11  8:30am LA time
Lex Service,REPAIR SHOP,737 Pacific Coast Hwy,Harbor City,CA,90710,(310) 517-0868,,,Lead,,,,,2/2 LVM asking for a callback
Lima Auto Repair,,,,,,,,,Lead,,,,,
Lucys Auto Center,REPAIR SHOP,5601 W Pico Blvd,Mid City,,,(323) 433-6479,claims@lucysautocenter.com,Avo,Contacted,,,,,4/29 Avo asked for more info; 5/6 Avo will have son look over & reach out
Luis Auto Repair,REPAIR SHOP,647 23rd St suite a,Richmond,CA,94804,(510) 215-9887,luis7111@gmail.com,Luis,Contacted,200,,,,"2/3 works on teslas, coolant, brakes, suspenion.. labor is a bit high if he wants to move forward ill see if we can get a lower warranty rate"
Lumin fisker / new name tbd,REPAIR SHOP,3655 Florin Rd #100,Sacramento,CA,95823,(916) 848-6282,christian@luminfisker.com,Christian,Contacted,,,,Yes,5/12 christian said dealership is changing names couldn't tell me what make. asked for info
M&F Auto Repair,REPAIR SHOP,3324 E Belmont Ave #2011,Fresno,CA,93702,(559) 515-6117,mnfautorepair@gmail.com,Edwin and Adan,Contacted,,,,,10/6 left VM and sent Email.
MAG Auto Repair,REPAIR SHOP,1700 E Thompson Blvd,Ventura,CA,93001,(805) 861-8283,Miguel@magauto.net,Miguel,Contacted,175,,,,"11/14 Miguel doesn't work on EV yet, asked for more info to look over."
Mango Automotive DTALB,REPAIR SHOP,700 Central Ave SW,Albuquerque,NM,87102,(505) 764-8698,carly@mangoautomotive.com,Carly,Contacted,,,,,"4/9 connected w/ shop, suggested I reach out to Carly Fleet AM for Mango Auto. sent an intro email asking for to set up a call."
Ma's Auto Body,SPECIALIST,775 California Dr,Burlingame,,,(650) 348-3772,masautobody888@hotmail.com,Jim Pozzobon - mgr; Kevin Ma - owner,In Review,,,,Yes,"6/9 Cert VF Body Shop & Repair- needs a solution to clear DTC's after repairs, currently shop drives to Colma SC and pay for DTC clearing. they also perform repairs at this location."
Ma's Auto Body,BODYSHOP,1116 South Amphlett Blvd,San Mateo,,,(650) 558-8530,masautobody888@hotmail.com,Jim Pozzobon - mgr; Kevin Ma - owner,In Review,,,no website but shop has good potential on reviews.,,"6/9 Cert VF Body Shop needs a solution to clear DTC's after repairs, currently shop drives to Colma SC and pay for DTC clearing. they also perform repairs at this location."
Mastertech Motors Auto Repairs,REPAIR SHOP,6314 Old Branch Ave,Temple Hills,MD,20748,(301) 900-3859,NickPaul19@gmail.com,Nick SA,Contacted,,,,,"4/7 sent info to Nick, he will discuss with Owner"
Marin Hybrid Shop,REPAIR SHOP,400 Enfrente Rd,Novato,CA,94949,(415) 883-0300,,,Contacted,,,,,11/03 LVM; Petra called back and said they're not interested in EV's
Medlock & Sons,SPECIALIST,9028 Delridge Way,Seattle,WA,98106,(425) 405-0458,Medlockteslaservice@gmail.com,Carl Medlock,Contacted,,,,Yes,"5/6 show closes at 4pm, sent info email CB tomorrow; 5/7 Carl very grumpy, asking for labor times to review before we can partner. ""dosent like 3rd party partnerships"""
Meineke Auto Repair & Mechanic Shop #1375,REPAIR SHOP,12300 W 95th St,Lenexa,KS,66215,(913) 213-0484,,,Contacted,,,,,12/15 low Google reviews 3.8
Meineke Car Care Center #2432,REPAIR SHOP,121 E Whittier Blvd,Montebello,,,(323) 767-8010,meinekestore2432@gmail.com,Gabby,Contacted,,,,,4/25 SM-Luis provided email address; 5/6 Luis took my # will have Gabby CB
Meineke Car Care Center #2819,,1100 W Holt,Ontario,,,,,,Lead,,,,Yes,Coming Soon
Meineke Car Care Center Oceanside,REPAIR SHOP,3844 Plaza Dr,Oceanside,,92056,(760) 691-1296,shop.4068@meineke.net,Joe,Contacted,,,http://www.signatureptw.com/,,5/9 Joe's not in shop asked me to email info to owner
mekaniks Plus Camarillo,REPAIR SHOP,130 Dawson Dr,Camarillo,,93012,(805) 303-7706,morris@mekaniksplus.com,Morris & Mario - owners; Lalo-poc,Contacted,,,,,"5/22 Lalo gave me Morris's email info, Mario & Morris are partners/brothers; 6/3 resent info to Morris advisor will have Him CB"
Mekaniks Plus Oxnard,REPAIR SHOP,632 Pacific ave,Oxnard,,93030,(805) 303-7916,Mario@mekaniksplus.com,Mario & Morris - Owners;  Adam-poc,Contacted,,,,,"5/22 Adam asked for more info, sent to Mario LR 250; LM for Mario asking for a CB"
Michael & Co. Auto Body Shop & Auto Repair,REPAIR SHOP,380 Lincoln Ave,San Jose,CA,95126,(405) 286-2988,kay@michaelandcompany.com,Kay,Contacted,195,,,,"Kay's interested, asked for info to discuss w/ owners"
Midas - Simi Valley,REPAIR SHOP,820 E Los Angeles Ave,Simi Valley,CA,93065,(805) 285-2918,simimidas1@gmail.com,Jeff Patey,Contacted,245,,,,"7/10 - 245.000LR; might be too much; 9/2 Jeff was busy, asked for a CB Thursday."
Midas - Anaheim,REPAIR SHOP,1701 W La Palma Ave,Anaheim,,92801,(714) 422-0881,haileymidas@gmail.com,Hailey killebrew - owner,In Review,165,165,,,"6/13 LR 165; 8/27 LVM on Hailey's #. 9/2 Hailey wasn't in, LM with shop & LVM on her cell; 9/26 will discuss with Alie today and request contract if they're interested in moving forward."
Midas Cathidral City,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas Diamond Bar,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas Durham,REPAIR SHOP,3606 Durham-Chapel Hill Blvd,Durham,NC,27707,(919) 907-2504,mikegurney@leggett-auto.com,,Contacted,,,,,4/7  owned by James Leggett same as greensboro shops
Midas Hemet,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas Orange,,1922 E Chapman Ave,Orange,,,,midasorangeca@gmail.com; vll411@sbcglobal.net,Jason Robinson,In Review,200,,,,4/24 send email & Contract;  10/23 contract sent
Midas Roseville South,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas Santa Ana,REPAIR SHOP,2523 S Bristol Ave,Santa Ana,CA,92704,(714) 795-2757,midasfountainvalley@yahoo.com,Jon Lim,In Review,,,,,4/29 AJ onsite will assist on getting shop live
Midas-Barstow,REPAIR SHOP,660 West Main,Barstow,,,(760) 718-3239,daniel@midasdna.com;  midasbarstw@hotmail.com,Daniel,In Review,,,,,4/29 Daniel owns Barstow & LakeForest; 5/6 L MSG w/ shop
Midas Bay Shore,REPAIR SHOP,1743 Sunrise Hwy,Bay Shore,NY,11706,(631) 514-1111,dastgir.abbas@gmail.com,Abbas,In Review,180,180,,,"9/17 Abbas is interested, asked for contract"
Midas Seaford,REPAIR SHOP,3906 Sunrise Hwy,Seaford,NY,11783,(631) 514-1111,dastgir.abbas@gmail.com,Abbas & Raza,In Review,180,180,,,9/17 Raza asked me to speak with Abbas he would decied.
Midas Port St. Lucie,REPAIR SHOP,10730 South US 1,Port St Lucie,,34952,(772) 335-0421,joel_victores@yahoo.com,Yoel Victores,Contacted,,,,,9/19; Yoel requested a CB week of 9/22; 9/25 emailed info
Midas Sunrise,REPAIR SHOP,235 E. Sunrise Blvd,Ft. Lauderdale,,33304,(954) 522-1106,joel_victores@yahoo.com,Yoel Victores,Contacted,,,,,9/19; Yoel requested a CB week of 9/22
Midas Hallandale,REPAIR SHOP,1000 North Federal Hwy,Hallandale,,33009,(954) 454-1287,joel_victores@yahoo.com,Yoel Victores,Contacted,,,,,9/19; Yoel requested a CB week of 9/22
Midas Coral Springs,REPAIR SHOP,8080 Wiles Rd,Coral Springs,,33065,(954) 752-9222,joel_victores@yahoo.com,Yoel Victores,Contacted,,,,,9/19; Yoel requested a CB week of 9/22
Midas Winter Haven,REPAIR SHOP,1670 3rd St. SW,Winter Haven,,33880,(863) 875-7286,,,Contacted,,,,,
Midas Cleveland Ave,REPAIR SHOP,4608 S. Cleveland Ave,Ft Myers,,33907,(678) 410-5657,,,Contacted,,,,,
Midas Brandon,REPAIR SHOP,"609 Robertson Street, West",Brandon,,33511,(678) 410-5657,,,Contacted,,,,,
Midas Dale Mabry,REPAIR SHOP,315 N. Dale Mabry,Dale Mabry,,33609,(678) 410-5657,,,Contacted,,,,,
Midas Miami Gardens,REPAIR SHOP,18525 NW 27th Ave,Miami,,,(305) 778-8018,,,Contacted,,,,,9/25 asked for email w/info
Midas Pembroke Pines,REPAIR SHOP,12391 Pembroke Rd,Miami,,,(305) 778-8018,,,Contacted,,,,,9/25 asked for email w/info
Midas Ventura,REPAIR SHOP,3949 E Main St,Ventura,CA,93003,(805) 223-9314,mancilla.mr@gmail.com,Marco Mancilla,In Review,229,200,,,10/15 Marco is very interested; sent contract
Midas S Nevada Ave,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas S Academy,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas N Academy,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas Stetson Hill,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas Pueblo,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas Colfax,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas 6th AVE,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas Sheridan,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas Colorado,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas Englewood,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas Greeley,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas Fort Collins,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas Longmont,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas Boulder,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas Glenwood Springs,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas Grand Junction,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas Fountain/Widefield,REPAIR SHOP,,,,,,,,Lead,,,,,
Midas Greensboro,REPAIR SHOP,105 College Rd,Greensboro,NC,27410,(336) 334-6221,,,Contacted,,,,,"Shop MGR took my info down, will pass it along to owner"
Midas Winston-Salem,REPAIR SHOP,7831 North Point Blvd,Winston-Salem,NC,27106,(336) 518-0702,,,Contacted,158,158,,,3/31 Jed (MGR on duty) said the shop is struggling with car count and revenue. I shared an overview of our program and CA success stories. He asked for more info via email to pass along to the district manager.
Mission Viejo Transmission & Auto Repair,REPAIR SHOP,27220 La Paz Rd m,Mission Viejo,CA,92692,(949) 583-1828,mvtransmission16@gmail.com,Kyle  Hurley,In Review,168.56 - 225.00,180,,,"2/2 Kyle is interested in partnering, basic labor rate starts at 168.56, and goes upto 225 for Euro, Exotic & EV' repairs.  I asked for $180. warranty labor rate.  2/13 Kyle isn't in tdy; logan filled out shop survey left a msg asking for him to call me back"
Montebello Tire Pros,REPAIR SHOP,830 W Whittier Blvd,Montebello,,,,info@mytirepros.com,Hugo,Contacted,,,,,"4/24-6 shops: montebello, burbank, san dimas, royal, simi valley; bullhead city, (AZ); 5/6 resent info; need to get ahold of hugo"
Moonlight Motors,REPAIR SHOP,274 N. Coast Hwy 101,Encinitas,,,(760) 479-7071,moonlightmotorsinc@gmail.com,martin smith,Contacted,,,,,"5/2 sent email, needs follow up call; 5/6 Owner isn't in often gotta keep trying"
Moorhead Automotive Center,REPAIR SHOP,740 N Texas St,Fairfield,,,(707) 429-4100,Wmk916@gmail.com; moorhead2021@gmail.com,Moe Kakar,Contacted,,,,,"6/2 LVM; 6/4 Moe's interested between Mo & his cousin they have close to 20 shops. 8/18 circled back Moe  doesn't work out of the shop ,  SA asked me to reach out via email."
Munoz's Automotive Repair,REPAIR SHOP,401 Old Coast HWY.,Santa Barbara,CA,93103,(805) 963-1121,David@munozauto.com,,Lead,,,,,11/17 LVM
Myers Automotive,REPAIR SHOP,936 N Andover Rd,Andover,KS,67002,(316) 768-7000,skonz@myersautoks.com - GM's cmyers@myersautoks.com - Owners,Chris Myers-owner; Stanley - GM,Contacted,,,,,"12/12 advisor asked me to send info for stanley to review, also sent info to Chris the owner of all 5 locations"
MZM Autowerks,REPAIR SHOP,23253 Madero,Mission Viejo,,,,,,Contacted,,,,Yes,5/6 shop is closed.
Neighborhood Car Care,REPAIR SHOP,1838 E Thompson Blvd,Ventura,CA,93001,(805) 641-2302,jeyoungerman@gmail.com,Jon,Contacted,,,,,"11/17 Jon wasn't in, sent email will follow up this week"
New Concept Auto Service,REPAIR SHOP,4119 Bonner Industrial Dr,Shawnee,KS,66226,(913) 286-1850,scott@newconceptauto.com,Scott,Contacted,,,,,"12/11 Scott is interested, would like to discuss with owners, they own 5 shops in KS with a 6th location scheduled to open in 2026. most repairs are menu priced but they are willing to discuss a labor rate if we partner together"
Next Level,REPAIR SHOP,1201 E Commercial Blvd Oakland Park,,FL,33334,(786) 325-7333,Nextlevelautoelectric@gmail.com,Williy,Contacted,,,,,"4/2 shop is busy, not sure if he can take on more, but asked for more info to review"
Nick's OC Auto Service,REPAIR SHOP,16291 Construction Cir E C,Irvine,CA,92606,(949) 552-8442,,,Lead,,,,,
Niels Auto Service,REPAIR SHOP,476 Los Angeles Ave STE A1-A3,Moorpark,CA,93021,(805) 379-4040,nielsautoservice@gmail.com,,Contacted,,,,,11/18 Left VM asking for a CB
Nishimoto Hybrids,REPAIR SHOP,1530 G St,Reedley,CA,93654,(559) 550-3840,nishimotohybrids@gmail.com,,Contacted,,,,,"10/30 shop is very busy w/ work, doesn't need more work- but was intrested in discussing OEM program w/wife owner."
North County Automotive,REPAIR SHOP,2477 S. Santa Fe Ave.,Vista,CA,92083,(760) 456-8939,service@northcountyautomotive.com,Erik,Contacted,,,,,Cindy asked for info to be emailed to have Erik look it over
North Highlands Tire Pros,REPAIR SHOP,5851 Watt Ave,North Highlands,CA,95660,(916) 332-1603,nss95660@gmail.com,Rodrigo - MGR;  Donavan - SA,Contacted,,,,,"10/8 sent info to Rodrigo, need to follow up"
NorthStar Smog And AutoCare,REPAIR SHOP,10657 Coloma Rd,Rancho Cordova,CA,95670,(916) 346-4251,nstar10655@gmail.com,Eric,Contacted,175,,,,"10/8 asked for more info, need to follow up"
Novacek Automotive,REPAIR SHOP,2928 S Hoover Rd,Wichita,KS,67215,(316) 729-7646,,Joe & Kimberly - founders,Contacted,,,,,12/9 LVM asking for a CB; 1/9 sent info email
Number One Auto Center Body Shop & Auto Repair,REPAIR SHOP,1500 Long Beach Blvd,Long Beach,CA,90813,(562) 599-2837,,Jose or Joseline,Contacted,,,,,2/10 owner and MGR were in a meeting try back in an Hr. 2/12 left msg for Joseline to call me back
Old Town Auto Works,REPAIR SHOP,5501 Reynolda Rd,Winston-Salem,NC,27106,(336) 924-4939,,,Contacted,,,,,"4/8 busy tone, no answer"
One Stop Auto Care,REPAIR SHOP,225 Eubank Blvd NE,Albuquerque,NM,87123,(502) 293-1181,onestopauto225@gmail.com,Steve Rayborn,Contacted,205,185,,,"4/9 Steve owner is interested, has done some HV batteries already and other EV work."
Orangevale Tire & Auto Repair,REPAIR SHOP,9216 Greenback Ln,Orangevale,CA,95662,(916) 988-4528,orangevalegoodyear@gmail.com,Mike,Contacted,175,,,,"Britney SA, asked for info via email. so Mike & ownership to review. need to follow up"
Ocean Repair Services,REPAIR SHOP,,,,,(626) 560-9646,oceanrepairserice@gmail.com,,Contacted,,,,,11/4 need to follow up.11/4 shop replied via tex; 11/5 mobile service supporting fisker ocen
Oceanside Tire and Service,REPAIR SHOP,"499 College Blvd Ste A, Oceanside CA, 92057",,,92057,(760) 547-7660,oceansidetire@yahoo.com,Kyler shockley,Contacted,200,,,,4/16 Kyler (owner) is interested asked for info to discuss with bus-partner.
Pacific Coast Tire & Service,REPAIR SHOP,2445 Santa Monica Blvd,Santa Monica,,,(310) 828-2555,michael@pactires.com,,Contacted,,,,Yes,"5/6 $185-LR, 3 locations in socal,"
Pacific Star Auto,,150 Jacqua St,Chula Vista,,91911,(619) 423-0336,,,Lead,,,,Yes,
Patriot Complete Auto Care,REPAIR SHOP,2530 W. Commercial Blvd,Ste C. Tamarac,FL,33309,(954) 990-7936,patriotautocare123@gmail.com,Alex,Contacted,185,,,,"4/2 asked me to call back in an hr; took my info down. 4/3  spoke w/ Alex, sent info email so he can discuss w/ owner."
Pat's Garage,REPAIR SHOP,1090 26th Street,San Francisco,,,(415) 403-2003,info@patsgarage.com; forrest@patsgarage.com,pat or forrest,Contacted,,,,,"5/12 works on fisker, asked for info to have owner review.; 8/4 Pat & Forrest are out of town, Try Back 8/12; 8/22 LVM asking for a CB. Forrest CB asked for more details to go over w/ Pat.  11/03 LVM; 11/04 Forest isn't in yet, advisor took my name & # to have him call me back; 2/5 Alex -said they're ot interested; sent a follow up email to Forest."
PeerLess Automotive,REPAIR SHOP,800 E Santa Fe St,Olathe,KS,66061,(913) 747-9090,sale@peerlessauto.com,,Lead,,,,,12/11 shops interested in partnership asked for info to go over w/ owner follow up Fri or next week
Perris Auto Repair,REPAIR SHOP,5168 Western Way,Perris,CA,92571,(951) 943-2677,tigerandsons@perrisautorepair.com,"Maro, Khalid; Lorenzo",Contacted,195,,,,10/22 Lorenzo asked for additional info to show Maro & Khalid.
PEX Auto Repair,REPAIR SHOP,23061 Antonio Pkwy h,Rancho Santa Margarita,CA,92688,(949) 264-6140,premierexpertauto@gmail.com,Ray,Contacted,170,,,,"2/2 spoke w/Ray's son, asked for email- Ray will look over info and get back"
Platte City Service Center,REPAIR SHOP,2439 NW Prairie View Road,Platte,MO,64079,(816) 903-2886,,,Contacted,,,,,"12/19 owners are in OKC,  they own fast lap . will follow up with them,"
Precision Auto Care,REPAIR SHOP,13990 E 14th St,San Leandro,,,(510) 351-8211,precisionautocaresanleandro@gmail.com,Jim Yamini,Contacted,,,,,12/5 Jim was intrigued. Wanted to ask techs what they thought. send email and follow up after the holiday.  5/7 Jim was busy try calling back b4 end of day
Precision Tune Auto Care,REPAIR SHOP,6040 Nieman Rd,Shawnee,KS,66203,(913) 631-3714,percisiontunekc@gmail.com,Chuck Duckworth,Contacted,140,,,,"12/12 sent info for owners review, follow up next week"
Preferred Auto Centre,REPAIR SHOP,3111 E Thousand Oaks Blvd,Thousand Oaks,,,(805) 373-1223,support@preferredautocentre.com,marc-SA,Contacted,,,,,Marc-owner is looking to get into EV's
Precision Collision Repair,REPAIR SHOP,9912-B Capital Blvd.,Wake Forest,NC,27587,(919) 435-7023,stacy.precisioncolision@gmail.com,Neal,Contacted,125,,,,"1/20 LVM, 1/21 shop calledback, interested but the shop might need to move locations as soon as june/july the city might take over ther location."
Premier Auto BOdy,BODYSHOP,150 Premier Dr,Holly Springs,NC,27540,(919) 285-1017,derek@premierautobody.us,Derek Fox,Contacted,,,,,"1/27 LVM, Derek owns 55 Auto Works,"
Prius Express / Hybrid Express,REPAIR SHOP,11930 Sheldon St,Sun Valley,CA,91352,(818) 433-4334,,,Contacted,,,,,11/10 LVM
Priuskings Hybrid Repairs,REPAIR SHOP,"Constellation Place, Constellation Blvd suite 100",Los Angeles,CA,90067,(310) 730-7370,info@priuskings.com,,Contacted,,,,,"11/10 network of mobile techs, asked for info to look over."
Priuskings Hybrid Repair KC,REPAIR SHOP,435 E 55th St,Kansas City,MO,64110,(816) 371-5337,,,Contacted,,,,,12/10 sent email; 1/12 email is the only way to contact shop.
Pulido's Auto Repair inc,REPAIR SHOP,130 W Walnut Ave A-12,Perris,CA,92571,(951) 943-2898,j_pulidos@hotmail.com,Jorge,In Review,150,150,,,"10/23 Jorge asked for a CB after 330;  11/24 Jorge is interested sent info & contract; 11/26  still need contract & forms completed,"
Purrfect Auto Service,REPAIR SHOP,407 Topeka Street Oceanside,,CA,92054,(760) 967-8888,autotronictech@gmail.com,Mr Porter,Contacted,200,,,,4/14 corp shop 29 shop in CA; 9 in NV
QR Auto Clinic LLC,REPAIR SHOP,23 Hampton Park Blvd,Capitol Heights,MD,20743,,qrautoclinic23@gmail.com,Quincy Roberts,In Review,140,140,,,"4/7 Quincy is interested, asked for more info & contract"
Quality Automotive and Diesel,REPAIR SHOP,177 N Sunnyside Ave #100,Clovis,CA,93611,(559) 321-8662,,,Contacted,,,,,number not valid
Quality Tune-Up Shops,REPAIR SHOP,10801 Folsom Blvd,Rancho Cordova,CA,95670,(916) 831-7816,ranchocordova@myqualitytuneup.com,Nate Juan,Contacted,165,,,,"Estrella gave me Email, Nate & Juan are not in, sent info email."
Quality Tune Up & Auto Repair Center,REPAIR SHOP,2545 Arden Way,Sacramento,,,,,,Lead,,,,,
Quality Tune Up & Auto Repair Center,,3846 Fruitridge Rd,Sacramento,,,,,,Lead,,,,,
Quality Tune Up & Auto Repair Center,,2501 Northgate Blvd,Sacramento,,,,,,Lead,,,,,
R&N Complete Auto Repair,REPAIR SHOP,18563 Valley Blvd,La Puente,CA,91744,(626) 965-1029,Rafarepair@verizon.net,,Contacted,150,,,,10/23 owner not in needs a CB tomorrow; Rafa is out of town till after thanksgiving
Raleigh EV,REPAIR SHOP,130 Annaron Ct,Raleigh,NC,27603,(919) 578-1128,matt@raleighev.com,,Contacted,,,,,"12/4 LVM, sent info;"
Raleigh Hybrids,REPAIR SHOP,4009 Mitchell Mill Rd,Raleigh,NC,27616,(984) 300-1531,ernieleesservice@yahoo.com,,Lead,,,,,
Rasmussen Auto Repair,REPAIR SHOP,1023 N Maple Ave,Fresno,CA,93702,(559) 251-0669,rar@rasmussenauto.com,,Contacted,,,,,10/28 left msg w/ reception alogn w/ my number & sent info email.
Ray's Auto Repair & Tires,REPAIR SHOP,2333 El Camino Real,Redwood City,,,(650) 367-8218,raysautorc@gmail.com,Hassan Ali - Owner,In Review,,,,Yes,Wanted email with info and Contract.  Will send email first then f/u with contract;  4/17 asked us to resend email info;  5/7 Ali said Hassan isn't in call another day.  8/18 Hassan not in.
Recharged,REPAIR SHOP,8410 W. Broad St,Richmond,,23294,(804) 390-5910,josh@recharged.com,Josh Adams,Contacted,,,,,"5/7 EV sales only, Haley suggested still sending an info email to Josh"
Reed's Automotive,REPAIR SHOP,57 Taylor Ct A,Thousand Oaks,CA,91360,(805) 374-9221,reeds.automotive.toaks@gmail.com,Liz ; John-owner,Contacted,195,,,,11/18 Liz asked for Email so John could review
Reel Deal EV,REPAIR SHOP,8520 Bramwell Way,Tampa,FL,33647,,chad@reeldealev.com,Chad,Lead,,,,,1/8 sent info email.
Regal Repair,BODYSHOP,5430 Cahuenga Blvd,North Hollywood,,,(818) 505-1442,info@regalrepair.com,hayk,Contacted,185,,,,"8/18 interested, asked for infor - will follow up by 8/19"
Relentless Collision,BODYSHOP,2620 Westinghouse Blvd,Raleigh,NC,27604,(919) 747-9165,,,Contacted,,,,,"12/22 LVM; Thomas - GM called back, this location isn't working on VF cars only the Cary NC location is."
Relentless Collision,BODYSHOP,1640 Piney Plains Rd,Cary,NC,27518,(984) 465-1026,jessfarley13@relentlesscollision.com,Jess Farley,Contacted,,,,,"12/23 this is the VF collision center, Jess is out check back after holiday to discuss VF warranty partnership"
Rick's Car Care,REPAIR SHOP,211 Betteravia Rd,Santa Maria,CA,93455,(805) 937-6033,,,Contacted,,,,,11/14 not really near any VF cars; could be a good partner not for VF
RiteWay Diagnostic Specialists,REPAIR SHOP,1427 Long Beach Blvd,Long Beach,CA,90813,(310) 325-6168,,,Contacted,,,,,"2/11 closed shop, is only doing mobile repairs right now"
RM Automotive,REPAIR SHOP,18434 Bryant St,Northridge,,,(818) 626-3118,Kyle@RMAuto.com,Mike,Contacted,,,,,"5/7 SA is interested, wants me to connect w/ Mike the owner took my info down & will have owner call me; 6/6 LVM for Mike; 8/18 advisor Kyle"
Ron Catt Auto Care,REPAIR SHOP,15841 Chemical Lane,Huntington Beach,CA,,(714) 893-2020,ron@cattautocare.com,Ron Catt,Contacted,,,https://teslaservice.la/,,"5/7 info sent for Owners review; 5/13 resent info directly to Ron, owner will review and see if he wants to move frwd. 8/18 spoke w/ Ron today asked me to resend email & we will have a follow up call end of this week or begining of next week."
